Producto,Kcal,Grasa,Carbohidratos,Proteina,Sal,Supermercado,Saturada%,Azucares%
Pollo Asado,183.0,10.0,0.8,22.0,2.0,mercadona,21.000000000000004,62.5
Filete de Pechuga de Pavo,103.0,0.9000000000000001,0.0,24.0,0.0,mercadona,79.99999999999999,
Leche de Soja sin Azucar,32.0,1.7000000000000002,0.9000000000000001,3.1,0.0,mercadona,17.64705882352941,0.0
Hamburguesa Pavo Pollo,127.0,4.9,3.1,17.7,1.7000000000000002,mercadona,34.69387755102041,16.129032258064516
Croissant (36g),402.77777777777777,22.5,40.55555555555556,8.333333333333332,0.7777777777777778,mercadona,46.913580246913575,22.602739726027394
Panecillo 100% Integral,235.0,1.5,42.6,9.2,1.2,mercadona,26.666666666666668,7.042253521126761
Galletas Digestive,412.5,14.0625,48.125,5.0,0.0,mercadona,11.11111111111111,44.15584415584416
Tomate Frito con Aceite de Oliva,77.0,3.5000000000000004,9.5,1.5,1.0,mercadona,8.57142857142857,72.63157894736842
Muesli Crujiente sin Azúcares Añadidos,401.0,12.0,52.0,8.8,0.08,mercadona,11.666666666666666,6.153846153846154
Café con Leche Light sin Lactosa,42.4,0.8,5.72,3.0,0.0,mercadona,65.0,97.90209790209792
Hélices con Vegetales,362.0,1.5,72.0,13.0,0.03,mercadona,20.0,4.305555555555555
Bagel,286.0,2.7,53.0,11.0,0.73,mercadona,14.814814814814811,20.75471698113208
Pan,267.0,1.0,55.00000000000001,8.6,1.5,mercadona,20.0,4.181818181818181
Tomate Frito Estilo Casero,104.0,5.0,12.4,2.0,0.8,mercadona,10.0,78.2258064516129
Queso en Polvo Especial para Pasta,292.0,16.0,17.0,20.0,2.5,mercadona,75.0,14.117647058823527
Brócoli para Vapor,46.0,0.4,6.6000000000000005,2.8,0.21,mercadona,9.749999999999998,25.75757575757576
Pechuga de Pavo Finas Lonchas Reducido en Sal,76.0,0.5,1.3,16.5,1.38,mercadona,60.0,100.0
Pan de Hamburguesa,263.6363636363636,4.181818181818182,45.45454545454545,9.090909090909092,1.0,mercadona,13.043478260869565,10.400000000000002
Galleta María Dorada Complet,459.2592592592592,14.074074074074073,75.55555555555556,10.0,0.9259259259259258,mercadona,10.526315789473689,30.39215686274509
Pepinillos Agridulces,56.00000000000001,0.5,11.0,0.9000000000000001,2.3,mercadona,80.0,100.0
Mayonesa Light,294.0,31.0,6.5,0.7,2.1,mercadona,15.483870967741936,53.846153846153854
