Producto,Kcal,Grasa,Grasas saturadas,Carbohidratos,Azucares,Proteina,Sal,Supermercado
Cookie con Chocolate sin Gluten,495.8333333333333,22.5,11.666666666666666,67.5,30.833333333333336,4.583333333333334,0.75,mercadona
Mix Natural ,509.0,33.0,3.8,34.0,30.0,16.0,0.0,mercadona
Whey + Proteínas Chocolate ,46.0,0.6,0.5,2.3,2.2,7.9,0.0,mercadona
Chocolate Negro con Avellanas Enteras,588.0,43.0,16.0,38.0,33.0,8.0,0.02,mercadona
Bebida de Vainilla,32.0,1.5,0.2,1.4,0.0,3.0,0.17,mercadona
Tocino de Cerdo,665.0,71.0,29.38,0.0,0.0,8.4,0.0,mercadona
Turrón de Chocolate con Cacahuete Frito Miel,548.0,32.0,14.000000000000002,54.0,52.0,10.0,0.8,mercadona
Cono Vainilla,325.6756756756757,17.56756756756757,12.972972972972974,36.486486486486484,28.37837837837838,4.324324324324325,0.5405405405405406,mercadona
Sepia Troceada con Agua Añadida,78.0,0.5,0.2,0.8,0.0,18.0,0.0,mercadona
Pan Especial Torrijas,263.0,2.7,0.5,48.6,4.3,9.8,0.9000000000000001,mercadona
Energy Drink,48.0,0.0,0.0,11.4,11.4,0.0,0.18,mercadona
Bebida de Soja Enriquecida Calcio y Vitaminas,35.0,1.9,0.3,0.8,0.7,3.4000000000000004,0.16,mercadona
Fideos Orientales con Pollo y Shiitake,114.99999999999999,3.9,0.5,12.0,2.4,7.400000000000001,4.75,mercadona
Cacahuetes Bañados en Chocolate Negro,540.0,33.1,13.900000000000002,44.2,43.8,13.3,0.0,mercadona
Tortitas de Avena y Arroz,391.1111111111111,4.888888888888889,0.8888888888888888,75.55555555555556,0.8888888888888888,9.333333333333334,3.7777777777777777,mercadona
Pan Rústico Integral,368.1818181818182,5.454545454545454,0.6818181818181818,65.45454545454545,7.954545454545454,13.40909090909091,1.1363636363636365,mercadona
Barra Integral,256.0,2.2,0.5,46.0,2.2,9.5,0.0,mercadona
Carne de Pimiento Choricero,38.0,0.6,0.4,5.3,4.0,1.6,0.1,mercadona
Cereales Rellenos sin Gluten,461.00000000000006,17.3,2.8,69.0,24.4,6.0,0.49,mercadona
Napolitanas con Crema de Cacao,450.0,25.0,13.0,50.0,24.0,6.0,0.6,mercadona
Risotto Microondas,136.0,6.9,0.0,15.0,0.0,2.9,0.0,mercadona
Pan Blanco sin Gluten,247.00000000000003,11.0,1.1,28.000000000000004,3.5000000000000004,5.0,1.52,mercadona
Longaniza Clásica Extra,449.0,36.5,14.099999999999998,2.7,2.7,27.500000000000004,3.8,mercadona
Cebollitas Sabor Anchoa,21.0,0.5,0.1,3.7000000000000006,2.0,0.3,3.75,mercadona
Yogur Linnea V Desnatado 0%,36.0,0.08,0.0,4.4799999999999995,4.4799999999999995,4.32,0.09599999999999999,mercadona
Mini Chapata,257.0,1.1,0.3,53.0,2.4,8.1,3.75,mercadona
Filete Empanar Añojo,115.99999999999999,2.6,1.3,0.5,0.5,23.0,0.0,mercadona
Croquetas Chipirones en Tinta,209.0,10.7,1.3,18.3,2.1,9.5,3.75,mercadona
Panet,259.0,1.1,0.2,53.0,3.2,8.2,1.3,mercadona
Yogur Estilo Griego Natural ,129.0,10.8,6.7,3.9,3.9,3.9,0.12,mercadona
Mini Burguer Pollo,148.0,7.5,2.4,4.3,1.4,16.0,4.75,mercadona
Natural Cabra,77.0,4.9,3.4000000000000004,4.2,4.2,4.1,0.09,mercadona
Frankfurt con Queso,242.0,19.2,7.200000000000001,5.0,0.7,12.0,0.01,mercadona
Menestra de Verduras con Habas Baby,49.0,0.3,0.1,6.5,3.5000000000000004,3.3000000000000003,0.0,mercadona
Snack De Queso,353.0,28.999999999999996,21.0,0.5,0.5,23.0,1.7000000000000002,mercadona
Maxi-Tortillas Integrales,310.0,7.833333333333334,3.833333333333333,50.0,7.5,8.0,0.0,mercadona
Copos de Trigo con Chocolate,386.0,3.1,1.8000000000000003,77.3,35.3,9.2,0.0,mercadona
Pastel Marmolado,455.0,25.0,13.0,50.0,33.0,5.1,0.0,mercadona
Iso On ,21.0,0.0,0.0,4.9,4.9,0.0,0.1,mercadona
Pera y Manzana,55.00000000000001,0.5,0.1,11.0,11.0,0.7,0.01,mercadona
"Zumo Piña, Uva y Manzana",53.0,0.1,0.0,12.6,0.0,0.3,0.0,mercadona
Escalopin Vacuno ,127.0,4.9,2.2,0.5,0.5,20.0,0.0,mercadona
Queso Blanco Pasteurizado,241.0,23.0,16.0,3.7000000000000006,2.5,4.2,0.0,mercadona
Tranchete Suave,242.0,16.0,11.1,12.0,5.8,11.8,7.249999999999999,mercadona
Pan Txapata,268.0,1.1,0.2,54.0,0.6,7.9,1.3,mercadona
Yogur con Pera,92.0,2.7,1.8000000000000003,13.3,12.6,3.6000000000000005,0.12,mercadona
Ensalada Gourmet Maxi,23.0,0.0,0.0,3.1,0.5,1.4,0.15,mercadona
Linguine,361.0,1.5,0.3,72.0,3.6000000000000005,13.0,0.01,mercadona
Natillas Caseras,358.0,0.0,1.0,89.0,14.6,0.0,0.0,mercadona
Calamar en Su Tinta,206.99999999999997,15.0,1.9,1.3,0.7,15.0,0.0,mercadona
Crema al Cacao 2 Sabores,550.0,33.0,7.1,56.99999999999999,56.99999999999999,4.5,0.2,mercadona
Pan Rallado Casero,357.0,1.78,0.43,76.52,2.68,8.78,2.5,mercadona
Caña de Cacao,579.0,32.0,15.0,56.99999999999999,28.999999999999996,4.0,0.5,mercadona
Turrón Cheesecake,476.0,24.0,15.0,56.00000000000001,53.0,8.1,0.2,mercadona
Choco Leche,491.0,22.0,14.000000000000002,66.0,38.0,5.8,0.48,mercadona
Pizza de Pepperoni,296.0,14.2,6.7,27.6,1.8000000000000003,14.400000000000002,1.7000000000000002,mercadona
Pechuga de Pavo a las Finas Hierbas ,80.0,0.8,0.3,0.7,0.7,17.5,0.0,mercadona
Galleta Maria Choco,466.0,17.0,4.2,69.0,24.0,7.6,0.0,mercadona
Crackers sin Gluten con Romero ,437.12574850299404,11.077844311377246,2.3952095808383236,80.83832335329342,1.4970059880239521,2.3952095808383236,2.3952095808383236,mercadona
Bombitas,546.0,33.0,3.8,59.0,6.9,5.2,1.4,mercadona
Jamón Cocido Finas Lonchas Bajo en Grasa,99.0,1.9,0.7,2.0,2.0,18.4,1.5,mercadona
Atún Claro en Escabeche Blanco (Escurrido),115.99999999999999,3.2,0.4,0.8,0.5,21.0,1.1,mercadona
Zumo Naranja con Pulpa,44.0,0.1,0.0,9.9,9.3,0.7,0.0,mercadona
Chocolate Cookies,298.0,16.0,10.0,32.0,28.000000000000004,5.5,0.0,mercadona
Tocino de Cielo,287.0,7.6,3.0,50.3,50.3,4.3,0.18,mercadona
Lasaña de Carne a la Barbacoa ,141.0,5.7,1.9,13.0,5.1,8.7,0.75,mercadona
Bolas de Cereal con Chocolate,501.0,24.4,15.299999999999999,63.4,49.2,5.3,0.0,mercadona
Yogomix,119.0,3.6000000000000005,2.2,17.0,0.0,4.4,0.15,mercadona
Digestive Avena,469.00000000000006,20.0,2.0,60.0,18.0,8.0,0.95,mercadona
Vacuno Empanar,115.99999999999999,2.6,1.3,0.5,0.5,23.0,0.16,mercadona
Surtido de Pastas ,505.0,26.0,10.0,62.0,22.0,5.8,0.12,mercadona
Galletas Chocolate Leche,507.6923076923077,24.615384615384617,7.6923076923076925,64.61538461538461,32.30769230769231,6.153846153846154,0.0,mercadona
Galletas Danesas ,499.0,23.0,14.000000000000002,66.0,28.999999999999996,5.3,0.4099999999999999,mercadona
Lasaña Vegetal,123.0,6.0,2.7,12.0,2.8,4.4,0.0,mercadona
Granola Bajo en Azúcar,476.99999999999994,22.7,3.5000000000000004,50.2,4.7,13.600000000000001,0.0,mercadona
Tortita Americana,291.0,11.0,6.7,43.0,19.0,5.8,0.0,mercadona
Masa Fresca Quebrada-Brisa,374.0,21.0,8.8,39.0,1.5,6.1,1.2,mercadona
Salsa Molho Soja,66.0,0.0,0.0,6.3,4.3,7.3,12.5,mercadona
Perejil Troceado,41.0,0.4,0.1,3.3000000000000003,1.0,4.1,0.13,mercadona
Snack de Maíz Sabor BBQ,537.0,28.999999999999996,3.1,62.0,0.5,5.0,1.3,mercadona
Yogomix Crunchy,146.0,3.9,2.3,23.0,17.0,4.0,0.2,mercadona
Zumo Piña Coco Fruta+Leche,21.0,0.0,0.0,4.9,4.8,0.3,0.0,mercadona
Gorgonzola Dolce,325.0,27.0,19.4,0.98,0.09,19.4,1.81,mercadona
Helado de Sorbete de Limón,82.0,0.4,0.3,18.9,15.0,0.5,0.0,mercadona
Cereales con Achicoria,357.0,0.0,0.0,80.0,3.3000000000000003,4.9,0.0,mercadona
Chocolate Extrafino Leche con Almendras Enteras,563.0,39.0,17.0,42.0,40.0,11.0,0.0,mercadona
